Year,Wins,Loss,Home Wins,Home Loss,Away Wins,Away Loss,HomePCT,AwayPCT,TotalPCT
2000,25,57,18,23,7,34,0.43902439,0.170731707,0.304878049
2001,33,49,23,18,10,31,0.56097561,0.243902439,0.402439024
2002,35,47,26,15,9,32,0.634146341,0.219512195,0.426829268
2003,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
2004,13,69,9,32,4,37,0.219512195,0.097560976,0.158536585
2005,26,56,18,23,8,33,0.43902439,0.195121951,0.317073171
2006,30,52,18,23,12,29,0.43902439,0.292682927,0.365853659
2007,37,45,25,16,12,29,0.609756098,0.292682927,0.451219512
2008,47,35,31,10,16,25,0.756097561,0.390243902,0.573170732
2009,53,29,34,7,19,22,0.829268293,0.463414634,0.646341463
2010,44,38,24,17,20,21,0.585365854,0.487804878,0.536585366
1950,24,42,21,11,3,25,0.65625,0.107142857,0.363636364
1951,20,46,17,15,2,22,0.53125,0.083333333,0.303030303
1952,16,54,11,20,1,19,0.35483871,0.05,0.228571429
1953,16,56,12,20,0,20,0.375,0,0.222222222
1963,31,49,20,19,8,21,0.512820513,0.275862069,0.3875
1964,37,43,23,14,12,19,0.621621622,0.387096774,0.4625
1965,38,42,29,9,4,25,0.763157895,0.137931034,0.475
1966,20,61,12,20,3,30,0.375,0.090909091,0.24691358
1967,36,46,17,19,12,23,0.472222222,0.342857143,0.43902439
1968,57,25,29,9,24,15,0.763157895,0.615384615,0.695121951
1969,50,32,25,12,19,18,0.675675676,0.513513514,0.609756098
1970,42,40,24,13,16,25,0.648648649,0.390243902,0.512195122
1971,38,44,18,15,16,24,0.545454545,0.4,0.463414634
1972,52,30,24,9,21,17,0.727272727,0.552631579,0.634146341
1950,39,30,26,6,9,22,0.8125,0.290322581,0.565217391
1951,39,27,22,7,10,19,0.75862069,0.344827586,0.590909091
1952,46,25,21,3,11,18,0.875,0.379310345,0.647887324
1953,42,30,16,6,11,19,0.727272727,0.366666667,0.583333333
1954,36,36,20,5,5,22,0.8,0.185185185,0.5
1955,39,33,20,7,12,15,0.740740741,0.444444444,0.541666667
1956,44,28,27,4,12,19,0.870967742,0.387096774,0.611111111
1957,49,23,25,4,17,13,0.862068966,0.566666667,0.680555556
1958,52,20,26,4,13,15,0.866666667,0.464285714,0.722222222
1959,59,16,25,2,23,9,0.925925926,0.71875,0.786666667
1960,57,22,21,7,24,11,0.75,0.685714286,0.721518987
1961,60,20,23,5,26,12,0.821428571,0.684210526,0.75
1962,58,22,25,5,21,16,0.833333333,0.567567568,0.725
1963,59,21,26,4,21,17,0.866666667,0.552631579,0.7375
1964,62,18,27,3,27,11,0.9,0.710526316,0.775
1965,54,26,26,5,19,18,0.838709677,0.513513514,0.675
1966,60,21,27,4,25,11,0.870967742,0.694444444,0.740740741
1967,54,28,28,9,20,16,0.756756757,0.555555556,0.658536585
1968,48,34,24,12,21,19,0.666666667,0.525,0.585365854
1969,34,48,16,21,13,27,0.432432432,0.325,0.414634146
1970,44,38,25,14,18,22,0.641025641,0.45,0.536585366
1971,56,26,32,9,21,16,0.780487805,0.567567568,0.682926829
1972,68,14,33,6,32,8,0.846153846,0.8,0.829268293
1973,56,26,26,6,21,18,0.8125,0.538461538,0.682926829
1974,60,22,28,13,32,9,0.682926829,0.780487805,0.731707317
1975,54,28,31,10,23,18,0.756097561,0.56097561,0.658536585
1976,44,38,28,13,16,25,0.682926829,0.390243902,0.536585366
1977,32,50,24,17,8,33,0.585365854,0.195121951,0.390243902
1978,29,53,21,20,8,33,0.512195122,0.195121951,0.353658537
1979,61,21,35,6,26,15,0.853658537,0.634146341,0.743902439
1980,62,20,35,6,27,14,0.853658537,0.658536585,0.756097561
1981,63,19,35,6,28,13,0.853658537,0.682926829,0.768292683
1982,56,26,33,8,23,18,0.804878049,0.56097561,0.682926829
1983,62,20,33,8,29,12,0.804878049,0.707317073,0.756097561
1984,63,19,35,6,28,13,0.853658537,0.682926829,0.768292683
1985,67,15,40,1,27,14,0.975609756,0.658536585,0.817073171
1986,59,23,39,2,20,21,0.951219512,0.487804878,0.719512195
1987,57,25,36,5,21,20,0.87804878,0.512195122,0.695121951
1988,42,40,32,9,10,31,0.780487805,0.243902439,0.512195122
1989,52,30,30,11,22,19,0.731707317,0.536585366,0.634146341
1990,56,26,35,6,21,20,0.853658537,0.512195122,0.682926829
1991,51,31,34,7,17,24,0.829268293,0.414634146,0.62195122
1992,48,34,28,13,20,21,0.682926829,0.487804878,0.585365854
1993,32,50,18,23,14,27,0.43902439,0.341463415,0.390243902
1994,35,47,20,21,15,26,0.487804878,0.365853659,0.426829268
1995,33,49,18,23,15,26,0.43902439,0.365853659,0.402439024
1996,15,67,11,30,4,37,0.268292683,0.097560976,0.182926829
1997,36,46,24,17,12,29,0.585365854,0.292682927,0.43902439
1998,19,31,10,15,9,16,0.4,0.36,0.38
1999,35,47,26,15,9,32,0.634146341,0.219512195,0.426829268
2000,36,46,20,21,16,25,0.487804878,0.390243902,0.43902439
2001,49,33,27,14,22,19,0.658536585,0.536585366,0.597560976
2002,44,38,25,16,19,22,0.609756098,0.463414634,0.536585366
2003,36,46,19,22,17,24,0.463414634,0.414634146,0.43902439
2004,45,37,27,14,18,23,0.658536585,0.43902439,0.548780488
2005,33,49,21,20,12,29,0.512195122,0.292682927,0.402439024
2006,24,58,12,29,12,29,0.292682927,0.292682927,0.292682927
2007,66,16,35,6,31,10,0.853658537,0.756097561,0.804878049
2008,62,20,35,6,27,14,0.853658537,0.658536585,0.756097561
2009,50,32,24,17,26,15,0.585365854,0.634146341,0.609756098
2010,56,26,33,8,23,18,0.804878049,0.56097561,0.682926829
1970,22,60,14,23,6,30,0.378378378,0.166666667,0.268292683
1971,22,60,13,27,8,31,0.325,0.205128205,0.268292683
1972,21,61,14,27,6,31,0.341463415,0.162162162,0.256097561
1973,42,40,19,13,17,21,0.59375,0.447368421,0.512195122
1974,49,33,30,11,19,22,0.731707317,0.463414634,0.597560976
1975,46,36,28,13,18,23,0.682926829,0.43902439,0.56097561
1976,30,52,23,18,7,34,0.56097561,0.170731707,0.365853659
1977,27,55,20,21,7,34,0.487804878,0.170731707,0.329268293
1973,47,35,31,10,15,25,0.756097561,0.375,0.573170732
2004,18,64,14,27,4,37,0.341463415,0.097560976,0.219512195
2005,26,56,17,24,9,32,0.414634146,0.219512195,0.317073171
2006,33,49,20,21,13,28,0.487804878,0.317073171,0.402439024
2007,32,50,21,20,11,30,0.512195122,0.268292683,0.390243902
2008,35,47,23,18,12,29,0.56097561,0.292682927,0.426829268
2009,44,38,31,10,13,28,0.756097561,0.317073171,0.536585366
2010,34,48,21,20,13,28,0.512195122,0.317073171,0.414634146
1988,20,62,12,29,8,33,0.292682927,0.195121951,0.243902439
1989,19,63,13,28,6,35,0.317073171,0.146341463,0.231707317
1990,26,56,17,24,9,32,0.414634146,0.219512195,0.317073171
1991,31,51,22,19,9,32,0.536585366,0.219512195,0.37804878
1992,44,38,22,19,22,19,0.536585366,0.536585366,0.536585366
1993,41,41,28,13,13,28,0.682926829,0.317073171,0.5
1994,50,32,29,12,21,20,0.707317073,0.512195122,0.609756098
1995,41,41,25,16,16,25,0.609756098,0.390243902,0.5
1996,54,28,30,11,24,17,0.731707317,0.585365854,0.658536585
1997,51,31,32,9,19,22,0.780487805,0.463414634,0.62195122
1998,26,24,16,9,10,15,0.64,0.4,0.52
1999,49,33,30,11,19,22,0.731707317,0.463414634,0.597560976
2000,46,36,28,13,18,23,0.682926829,0.43902439,0.56097561
2001,44,38,21,20,23,18,0.512195122,0.56097561,0.536585366
1966,33,48,17,19,9,17,0.472222222,0.346153846,0.407407407
1967,29,53,11,22,12,23,0.333333333,0.342857143,0.353658537
1968,33,49,19,21,12,25,0.475,0.324324324,0.402439024
1969,39,43,23,10,9,25,0.696969697,0.264705882,0.475609756
1970,51,31,30,11,17,19,0.731707317,0.472222222,0.62195122
1971,57,25,29,12,26,12,0.707317073,0.684210526,0.695121951
1972,51,31,29,12,20,19,0.707317073,0.512820513,0.62195122
1973,54,28,32,9,21,19,0.780487805,0.525,0.658536585
1974,47,35,29,12,18,23,0.707317073,0.43902439,0.573170732
1975,24,58,15,26,9,32,0.365853659,0.219512195,0.292682927
1976,44,38,31,10,13,28,0.756097561,0.317073171,0.536585366
1977,40,42,29,12,11,30,0.707317073,0.268292683,0.487804878
1978,31,51,19,22,12,29,0.463414634,0.292682927,0.37804878
1979,30,52,21,20,9,32,0.512195122,0.219512195,0.365853659
1980,45,37,26,15,19,22,0.634146341,0.463414634,0.548780488
1981,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
1982,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
1983,27,55,18,23,9,32,0.43902439,0.219512195,0.329268293
1984,38,44,26,15,12,29,0.634146341,0.292682927,0.463414634
1985,30,52,22,19,8,33,0.536585366,0.195121951,0.365853659
1986,40,42,29,12,11,30,0.707317073,0.268292683,0.487804878
1987,50,32,30,11,20,21,0.731707317,0.487804878,0.609756098
1988,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
1989,55,27,36,5,19,22,0.87804878,0.463414634,0.670731707
1990,61,21,35,6,26,15,0.853658537,0.634146341,0.743902439
1991,67,15,36,5,31,10,0.87804878,0.756097561,0.817073171
1992,57,25,31,10,26,15,0.756097561,0.634146341,0.695121951
1993,55,27,31,10,24,17,0.756097561,0.585365854,0.670731707
1994,47,35,28,13,19,22,0.682926829,0.463414634,0.573170732
1995,72,10,39,2,33,8,0.951219512,0.804878049,0.87804878
1996,69,13,39,2,30,11,0.951219512,0.731707317,0.841463415
1997,62,20,37,4,25,16,0.902439024,0.609756098,0.756097561
1998,13,37,8,17,5,20,0.32,0.2,0.26
1999,17,65,12,29,5,36,0.292682927,0.12195122,0.207317073
2000,15,67,10,31,5,36,0.243902439,0.12195122,0.182926829
2001,21,61,14,27,7,34,0.341463415,0.170731707,0.256097561
2002,30,52,27,14,3,38,0.658536585,0.073170732,0.365853659
2003,23,59,14,27,9,32,0.341463415,0.219512195,0.280487805
2004,47,35,27,14,20,21,0.658536585,0.487804878,0.573170732
2005,41,41,21,20,20,21,0.512195122,0.487804878,0.5
2006,49,33,31,10,18,23,0.756097561,0.43902439,0.597560976
2007,33,49,20,21,13,28,0.487804878,0.317073171,0.402439024
2008,41,41,28,13,13,28,0.682926829,0.317073171,0.5
2009,41,41,24,17,17,24,0.585365854,0.414634146,0.5
2010,62,20,36,5,26,15,0.87804878,0.634146341,0.756097561
1961,18,62,9,19,3,20,0.321428571,0.130434783,0.225
1962,25,55,17,17,3,23,0.5,0.115384615,0.3125
1957,33,39,17,12,10,19,0.586206897,0.344827586,0.458333333
1958,19,53,9,19,2,25,0.321428571,0.074074074,0.263888889
1959,19,56,9,22,2,20,0.290322581,0.090909091,0.253333333
1960,33,46,18,13,8,19,0.580645161,0.296296296,0.417721519
1961,43,37,18,13,14,16,0.580645161,0.466666667,0.5375
1962,42,38,23,10,15,19,0.696969697,0.441176471,0.525
1963,55,25,26,7,18,18,0.787878788,0.5,0.6875
1964,48,32,25,7,17,21,0.78125,0.447368421,0.6
1965,45,35,25,6,11,23,0.806451613,0.323529412,0.5625
1966,39,42,20,11,12,24,0.64516129,0.333333333,0.481481481
1967,39,43,18,12,13,23,0.6,0.361111111,0.475609756
1968,41,41,15,13,16,21,0.535714286,0.432432432,0.5
1969,36,46,19,13,14,25,0.59375,0.358974359,0.43902439
1970,33,49,17,16,11,28,0.515151515,0.282051282,0.402439024
1971,30,52,20,18,8,32,0.526315789,0.2,0.365853659
1970,15,67,11,30,2,37,0.268292683,0.051282051,0.182926829
1971,23,59,13,28,8,30,0.317073171,0.210526316,0.280487805
1972,32,50,20,21,10,27,0.487804878,0.27027027,0.390243902
1973,29,53,18,23,11,28,0.43902439,0.282051282,0.353658537
1974,40,42,29,12,11,30,0.707317073,0.268292683,0.487804878
1975,49,33,29,12,20,21,0.707317073,0.487804878,0.597560976
1976,43,39,29,12,14,27,0.707317073,0.341463415,0.524390244
1977,43,39,27,14,16,25,0.658536585,0.390243902,0.524390244
1978,30,52,20,21,10,31,0.487804878,0.243902439,0.365853659
1979,37,45,28,13,9,32,0.682926829,0.219512195,0.451219512
1980,28,54,20,21,8,33,0.487804878,0.195121951,0.341463415
1981,15,67,9,32,6,35,0.219512195,0.146341463,0.182926829
1982,23,59,15,26,8,33,0.365853659,0.195121951,0.280487805
1983,28,54,23,18,5,36,0.56097561,0.12195122,0.341463415
1984,36,46,20,21,16,25,0.487804878,0.390243902,0.43902439
1985,29,53,16,25,13,28,0.390243902,0.317073171,0.353658537
1986,31,51,25,16,6,35,0.609756098,0.146341463,0.37804878
1987,42,40,31,10,11,30,0.756097561,0.268292683,0.512195122
1988,57,25,37,4,20,21,0.902439024,0.487804878,0.695121951
1989,42,40,27,14,15,26,0.658536585,0.365853659,0.512195122
1990,33,49,23,18,10,31,0.56097561,0.243902439,0.402439024
1991,57,25,35,6,22,19,0.853658537,0.536585366,0.695121951
1992,54,28,35,6,19,22,0.853658537,0.463414634,0.658536585
1993,47,35,31,10,16,25,0.756097561,0.390243902,0.573170732
1994,43,39,26,15,17,24,0.634146341,0.414634146,0.524390244
1995,47,35,26,15,21,20,0.634146341,0.512195122,0.573170732
1996,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
1997,47,35,27,14,20,21,0.658536585,0.487804878,0.573170732
1998,22,28,15,10,7,18,0.6,0.28,0.44
1999,32,50,22,19,10,31,0.536585366,0.243902439,0.390243902
2000,30,52,20,21,10,31,0.487804878,0.243902439,0.365853659
2001,29,53,20,21,9,32,0.487804878,0.219512195,0.353658537
2002,17,65,14,27,3,38,0.341463415,0.073170732,0.207317073
2003,35,47,23,18,12,29,0.56097561,0.292682927,0.426829268
2004,42,40,29,12,13,28,0.707317073,0.317073171,0.512195122
2005,50,32,31,10,19,22,0.756097561,0.463414634,0.609756098
2006,50,32,30,11,20,21,0.731707317,0.487804878,0.609756098
2007,45,37,27,14,18,23,0.658536585,0.43902439,0.548780488
2008,66,16,39,2,27,14,0.951219512,0.658536585,0.804878049
2009,61,21,35,6,26,15,0.853658537,0.634146341,0.743902439
2010,19,63,12,29,7,34,0.292682927,0.170731707,0.231707317
1980,15,67,11,30,4,37,0.268292683,0.097560976,0.182926829
1981,28,54,16,25,12,29,0.390243902,0.292682927,0.341463415
1982,38,44,23,18,15,26,0.56097561,0.365853659,0.463414634
1983,43,39,31,10,12,29,0.756097561,0.292682927,0.524390244
1984,44,38,24,17,20,21,0.585365854,0.487804878,0.536585366
1985,44,38,26,15,18,23,0.634146341,0.43902439,0.536585366
1986,55,27,35,6,20,21,0.853658537,0.487804878,0.670731707
1987,53,29,33,8,20,21,0.804878049,0.487804878,0.646341463
1988,38,44,24,17,14,27,0.585365854,0.341463415,0.463414634
1989,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
1990,28,54,20,21,8,33,0.487804878,0.195121951,0.341463415
1991,22,60,15,26,7,34,0.365853659,0.170731707,0.268292683
1992,11,71,7,34,4,37,0.170731707,0.097560976,0.134146341
1993,13,69,6,35,7,34,0.146341463,0.170731707,0.158536585
1994,36,46,19,22,17,24,0.463414634,0.414634146,0.43902439
1995,26,56,16,25,10,31,0.390243902,0.243902439,0.317073171
1996,24,58,14,27,10,31,0.341463415,0.243902439,0.292682927
1997,20,62,13,28,7,34,0.317073171,0.170731707,0.243902439
1998,19,31,15,10,4,21,0.6,0.16,0.38
1999,40,42,22,19,18,23,0.536585366,0.43902439,0.487804878
2000,53,29,28,13,25,16,0.682926829,0.609756098,0.646341463
2001,57,25,30,11,27,14,0.731707317,0.658536585,0.695121951
2002,60,22,33,8,27,14,0.804878049,0.658536585,0.731707317
2003,52,30,36,5,16,25,0.87804878,0.390243902,0.634146341
2004,58,24,29,12,29,12,0.707317073,0.707317073,0.707317073
2005,60,22,34,7,26,15,0.829268293,0.634146341,0.731707317
2006,67,15,36,5,31,10,0.87804878,0.756097561,0.817073171
2007,51,31,34,7,17,24,0.829268293,0.414634146,0.62195122
2008,50,32,32,9,18,23,0.780487805,0.43902439,0.609756098
2009,55,27,28,13,27,14,0.682926829,0.658536585,0.670731707
2010,57,25,29,12,28,13,0.707317073,0.682926829,0.695121951
1976,50,32,36,5,14,27,0.87804878,0.341463415,0.609756098
1977,48,34,33,8,15,26,0.804878049,0.365853659,0.585365854
1978,47,35,29,12,18,23,0.707317073,0.43902439,0.573170732
1979,30,52,24,17,6,35,0.585365854,0.146341463,0.365853659
1980,37,45,23,18,14,27,0.56097561,0.341463415,0.451219512
1981,46,36,29,12,17,24,0.707317073,0.414634146,0.56097561
1982,45,37,29,12,16,25,0.707317073,0.390243902,0.548780488
1983,38,44,27,14,11,30,0.658536585,0.268292683,0.463414634
1984,52,30,34,7,18,23,0.829268293,0.43902439,0.634146341
1985,47,35,34,7,13,28,0.829268293,0.317073171,0.573170732
1986,37,45,27,14,10,31,0.658536585,0.243902439,0.451219512
1987,54,28,35,6,19,22,0.853658537,0.463414634,0.658536585
1988,44,38,35,6,9,32,0.853658537,0.219512195,0.536585366
1989,43,39,28,13,15,26,0.682926829,0.365853659,0.524390244
1990,20,62,17,24,3,38,0.414634146,0.073170732,0.243902439
1991,24,58,18,23,6,35,0.43902439,0.146341463,0.292682927
1992,36,46,28,13,8,33,0.682926829,0.195121951,0.43902439
1993,42,40,28,13,14,27,0.682926829,0.341463415,0.512195122
1994,41,41,23,18,18,23,0.56097561,0.43902439,0.5
1995,35,47,24,17,11,30,0.585365854,0.268292683,0.426829268
1996,21,61,12,29,9,32,0.292682927,0.219512195,0.256097561
1997,11,71,9,32,2,39,0.219512195,0.048780488,0.134146341
1998,14,36,12,13,2,23,0.48,0.08,0.28
1999,35,47,25,16,10,31,0.609756098,0.243902439,0.426829268
2000,40,42,29,12,11,30,0.707317073,0.268292683,0.487804878
2001,27,55,20,21,7,34,0.487804878,0.170731707,0.329268293
2002,17,65,13,28,4,37,0.317073171,0.097560976,0.207317073
2003,43,39,29,12,14,27,0.707317073,0.341463415,0.524390244
2004,49,33,31,10,18,23,0.756097561,0.43902439,0.597560976
2005,44,38,26,15,18,23,0.634146341,0.43902439,0.536585366
2006,45,37,23,18,22,19,0.56097561,0.536585366,0.548780488
2007,50,32,33,8,17,24,0.804878049,0.414634146,0.609756098
2008,54,28,33,8,21,20,0.804878049,0.512195122,0.658536585
2009,53,29,34,7,19,22,0.829268293,0.463414634,0.646341463
2010,50,32,33,8,17,24,0.804878049,0.414634146,0.609756098
1957,33,39,14,14,13,18,0.5,0.419354839,0.458333333
1958,28,44,13,17,8,20,0.433333333,0.285714286,0.388888889
1959,30,45,17,14,6,21,0.548387097,0.222222222,0.4
1960,34,45,20,11,3,19,0.64516129,0.136363636,0.430379747
1961,37,43,16,14,8,17,0.533333333,0.32,0.4625
1962,34,46,14,16,8,19,0.466666667,0.296296296,0.425
1963,23,57,9,21,6,25,0.3,0.193548387,0.2875
1964,31,49,13,17,11,20,0.433333333,0.35483871,0.3875
1965,22,58,13,17,4,22,0.433333333,0.153846154,0.275
1966,30,51,12,18,9,19,0.4,0.321428571,0.37037037
1967,40,42,21,11,12,23,0.65625,0.342857143,0.487804878
1968,32,50,21,17,7,30,0.552631579,0.189189189,0.390243902
1969,31,51,18,20,10,25,0.473684211,0.285714286,0.37804878
1970,45,37,24,17,20,19,0.585365854,0.512820513,0.548780488
1971,26,56,16,25,9,30,0.390243902,0.230769231,0.317073171
1972,40,42,26,15,13,25,0.634146341,0.342105263,0.487804878
1973,52,30,29,12,23,17,0.707317073,0.575,0.634146341
1974,40,42,26,15,14,27,0.634146341,0.341463415,0.487804878
1975,36,46,24,17,12,29,0.585365854,0.292682927,0.43902439
1976,44,38,30,11,14,27,0.731707317,0.341463415,0.536585366
1977,38,44,24,17,14,27,0.585365854,0.341463415,0.463414634
1978,30,52,22,19,8,33,0.536585366,0.195121951,0.365853659
1979,16,66,13,28,3,38,0.317073171,0.073170732,0.195121951
1980,21,61,14,27,7,34,0.341463415,0.170731707,0.256097561
1981,39,43,23,18,16,25,0.56097561,0.390243902,0.475609756
1982,37,45,23,18,14,27,0.56097561,0.341463415,0.451219512
1983,49,33,30,11,19,22,0.731707317,0.463414634,0.597560976
1984,46,36,26,15,20,21,0.634146341,0.487804878,0.56097561
1985,46,36,31,10,15,26,0.756097561,0.365853659,0.56097561
1986,52,30,32,9,20,21,0.780487805,0.487804878,0.634146341
1987,54,28,34,7,20,21,0.829268293,0.487804878,0.658536585
1988,63,19,37,4,26,15,0.902439024,0.634146341,0.768292683
1989,59,23,35,6,24,17,0.853658537,0.585365854,0.719512195
1990,50,32,32,9,18,23,0.780487805,0.43902439,0.609756098
1991,48,34,25,16,23,18,0.609756098,0.56097561,0.585365854
1992,40,42,28,13,12,29,0.682926829,0.292682927,0.487804878
1993,20,62,10,31,10,31,0.243902439,0.243902439,0.243902439
1994,28,54,22,19,6,35,0.536585366,0.146341463,0.341463415
1995,46,36,30,11,16,25,0.731707317,0.390243902,0.56097561
1996,54,28,30,11,24,17,0.731707317,0.585365854,0.658536585
1997,37,45,25,16,12,29,0.609756098,0.292682927,0.451219512
1998,29,21,17,8,12,13,0.68,0.48,0.58
1999,42,40,27,14,15,26,0.658536585,0.365853659,0.512195122
2000,32,50,18,23,14,27,0.43902439,0.341463415,0.390243902
2001,50,32,26,15,24,17,0.634146341,0.585365854,0.609756098
2002,50,32,30,11,20,21,0.731707317,0.487804878,0.609756098
2003,54,28,31,10,23,18,0.756097561,0.56097561,0.658536585
2004,54,28,32,9,22,19,0.780487805,0.536585366,0.658536585
2005,64,18,37,4,27,14,0.902439024,0.658536585,0.780487805
2006,53,29,26,15,27,14,0.634146341,0.658536585,0.646341463
2007,59,23,34,7,25,16,0.829268293,0.609756098,0.719512195
2008,39,43,21,20,18,23,0.512195122,0.43902439,0.475609756
2009,27,55,17,24,10,31,0.414634146,0.243902439,0.329268293
2010,30,52,21,20,9,32,0.512195122,0.219512195,0.365853659
1971,51,31,27,8,21,20,0.771428571,0.512195122,0.62195122
1972,47,35,27,14,18,20,0.658536585,0.473684211,0.573170732
1973,44,38,23,18,20,20,0.56097561,0.5,0.536585366
1974,48,34,31,10,17,24,0.756097561,0.414634146,0.585365854
1975,59,23,36,5,23,18,0.87804878,0.56097561,0.719512195
1976,46,36,29,12,17,24,0.707317073,0.414634146,0.56097561
1977,43,39,30,11,13,28,0.731707317,0.317073171,0.524390244
1978,38,44,23,18,15,26,0.56097561,0.365853659,0.463414634
1979,24,58,15,26,9,32,0.365853659,0.219512195,0.292682927
1980,39,43,26,15,13,28,0.634146341,0.317073171,0.475609756
1981,45,37,28,13,17,24,0.682926829,0.414634146,0.548780488
1982,30,52,21,20,9,32,0.512195122,0.219512195,0.365853659
1983,37,45,27,14,10,31,0.658536585,0.243902439,0.451219512
1984,22,60,17,24,5,36,0.414634146,0.12195122,0.268292683
1985,30,52,24,17,6,35,0.585365854,0.146341463,0.365853659
1986,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
1987,20,62,16,25,4,37,0.390243902,0.097560976,0.243902439
1988,43,39,29,12,14,27,0.707317073,0.341463415,0.524390244
1989,37,45,27,14,10,31,0.658536585,0.243902439,0.451219512
1990,44,38,30,11,14,27,0.731707317,0.341463415,0.536585366
1991,55,27,31,10,24,17,0.756097561,0.585365854,0.670731707
1992,34,48,19,22,15,26,0.463414634,0.365853659,0.414634146
1993,50,32,29,12,21,20,0.707317073,0.512195122,0.609756098
1994,26,56,15,26,11,30,0.365853659,0.268292683,0.317073171
1995,36,46,23,18,13,28,0.56097561,0.317073171,0.43902439
1996,30,52,18,23,12,29,0.43902439,0.292682927,0.365853659
1997,19,63,12,29,7,34,0.292682927,0.170731707,0.231707317
1998,21,29,13,12,8,17,0.52,0.32,0.42
1999,19,63,12,29,7,34,0.292682927,0.170731707,0.231707317
2000,17,65,11,30,6,35,0.268292683,0.146341463,0.207317073
2001,21,61,14,27,7,34,0.341463415,0.170731707,0.256097561
2002,38,44,24,17,14,27,0.585365854,0.341463415,0.463414634
2003,37,45,27,14,10,31,0.658536585,0.243902439,0.451219512
2004,34,48,20,21,14,27,0.487804878,0.341463415,0.414634146
2005,34,48,21,20,13,28,0.512195122,0.317073171,0.414634146
2006,42,40,30,11,12,29,0.731707317,0.292682927,0.512195122
2007,48,34,27,14,21,20,0.658536585,0.512195122,0.585365854
2008,29,53,21,20,8,33,0.512195122,0.195121951,0.353658537
2009,26,56,18,23,8,33,0.43902439,0.195121951,0.317073171
2010,36,46,26,15,10,31,0.634146341,0.243902439,0.43902439
1971,34,48,15,20,14,23,0.428571429,0.378378378,0.414634146
1972,33,49,14,14,10,28,0.5,0.263157895,0.402439024
1973,32,50,18,23,13,25,0.43902439,0.342105263,0.390243902
1974,41,41,29,12,12,29,0.707317073,0.292682927,0.5
1975,40,42,28,13,12,29,0.682926829,0.292682927,0.487804878
1976,49,33,34,7,15,26,0.829268293,0.365853659,0.597560976
1977,28,54,21,20,7,34,0.512195122,0.170731707,0.341463415
1978,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
1979,41,41,29,12,12,29,0.707317073,0.292682927,0.5
1980,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
1981,46,36,25,16,21,20,0.609756098,0.512195122,0.56097561
1982,14,68,9,32,5,36,0.219512195,0.12195122,0.170731707
1983,29,53,21,20,8,33,0.512195122,0.195121951,0.353658537
1984,48,34,29,12,19,22,0.707317073,0.463414634,0.585365854
1985,51,31,36,5,15,26,0.87804878,0.365853659,0.62195122
